event_id,company,ticker,sector,event_type,event_date,departure_type,context,observed_pathway,source_url,analyst_note
CEODEP001,Apple,AAPL,Technology,CEO departure,2011-08-24,planned succession,"Steve Jobs resigned as CEO and became chairman; Tim Cook was named CEO after a long operational leadership role and Jobs's medical leave history.",continuity succession,https://www.apple.com/newsroom/2011/08/24Steve-Jobs-Resigns-as-CEO-of-Apple/,"The case illustrates a planned handoff where continuity was supported by a known successor, board alignment, and an existing operating cadence."
CEODEP002,Microsoft,MSFT,Technology,CEO departure,2013-08-23,planned succession,"Steve Ballmer announced he would retire within 12 months while the board began a formal CEO succession process during a period of strategic repositioning.",strategic reset,https://news.microsoft.com/2013/08/23/microsoft-ceo-steve-ballmer-to-retire-within-12-months/,"The case shows how a planned departure can still function as a strategic reset when the company is under pressure to adapt its business model."
CEODEP003,General Electric,GE,Industrials,CEO departure,2017-06-12,planned succession,"Jeff Immelt stepped down after a long CEO tenure, with John Flannery named successor while GE faced portfolio, performance, and capital allocation pressure.",portfolio reset,https://www.ge.com/news/press-releases/ge-announces-jeff-immelt-retire-chairman-and-ceo-john-flannery-named-ceo,"The case is useful for studying long-tenure CEO transitions where succession is orderly but the operating context signals deeper restructuring needs."
CEODEP004,Twitter,TWTR,Communication Services,CEO departure,2021-11-29,founder stepdown,"Jack Dorsey stepped down as CEO and Parag Agrawal was named CEO after prior investor scrutiny over leadership focus and platform execution.",founder transition,https://www.prnewswire.com/news-releases/jack-dorsey-steps-down-as-twitter-ceo-board-unanimously-appoints-cto-parag-agrawal-as-ceo-301433589.html,"The case separates founder departure from crisis departure: the transition emphasized internal succession and governance continuity despite prior external pressure."
CEODEP005,Starbucks,SBUX,Consumer Discretionary,CEO departure,2022-03-16,planned succession with founder return,"Kevin Johnson announced retirement and Howard Schultz returned as interim CEO while the board searched for a permanent successor.",interim founder return,https://stories.starbucks.com/press/2022/starbucks-announces-ceo-transition/,"The case illustrates a founder-return pathway used to bridge a transition period and stabilize strategy while formal succession is underway."
CEODEP006,The Walt Disney Company,DIS,Communication Services,CEO departure,2022-11-20,performance-driven termination with predecessor return,"Bob Chapek stepped down and Bob Iger returned as CEO after board action during a period of strategic, investor, and operating pressure.",board-led reset,https://thewaltdisneycompany.com/the-walt-disney-company-board-of-directors-appoints-robert-a-iger-as-chief-executive-officer/,"The case shows a high-profile board-led reset where a prior CEO returned to restore leadership credibility and review strategic direction."
CEODEP007,Uber,UBER,Technology,CEO departure,2017-06-20,abrupt resignation under investor pressure,"Travis Kalanick resigned as CEO after investor pressure and a sequence of governance, culture, and legal controversies.",governance repair,https://www.nytimes.com/2017/06/21/technology/uber-ceo-travis-kalanick.html,"The case is a core example of abrupt founder exit linked to governance repair, cultural remediation, and board pressure."
CEODEP008,Boeing,BA,Industrials,CEO departure,2019-12-23,crisis-linked termination,"Dennis Muilenburg was removed as CEO during the 737 MAX crisis, with David Calhoun appointed CEO.",crisis accountability,https://boeing.mediaroom.com/2019-12-23-Boeing-Announces-Leadership-Changes,"The case illustrates crisis-linked CEO removal where leadership change was part of restoring stakeholder, regulator, and customer confidence."
CEODEP009,Wells Fargo,WFC,Financials,CEO departure,2016-10-12,crisis-linked resignation,"John Stumpf retired as chairman and CEO after the bank's sales-practices scandal and escalating regulatory, congressional, and reputational pressure.",reputational repair,https://newsroom.wf.com/English/news-releases/news-release-details/2016/John-Stumpf-to-Retire-from-Wells-Fargo-Board-of-Directors-Names-Tim-Sloan-CEO/default.aspx,"The case shows CEO departure as an accountability signal following a misconduct scandal with continuing governance and control remediation."
CEODEP010,McDonald's,MCD,Consumer Discretionary,CEO departure,2019-11-03,conduct-related termination,"Steve Easterbrook was terminated as president and CEO after the board determined he violated company policy, and Chris Kempczinski was appointed CEO.",conduct accountability,https://www.theguardian.com/business/2019/nov/03/mcdonalds-chief-executive-steve-easterbrook-relationship-employee,"The case is useful for separating personal-conduct termination from operating-performance termination; the pathway centers on governance enforcement and leadership continuity."
